term,OR,CI_low,CI_high,p_value
Intercept,5.412740631173019e-23,0.0,inf,0.9999896261908141
C(cluster_label)[T.1],0.5034389272642025,0.37487602904315553,0.6760921847466375,5.072931256942267e-06
C(cluster_label)[T.2],0.9675446960714517,0.7268148345818535,1.2880071984697086,0.8211740463545303
C(cluster_label)[T.3],0.9603137442922551,0.7393175003579332,1.2473700230687568,0.7615261685364646
C(AGErange)[T.2.0],1.0809359595513233,0.6661754241034337,1.7539262278005094,0.7526528077766584
C(AGErange)[T.3.0],2.0539297698341685,1.2738605304716055,3.3116871105577244,0.0031462252475735883
C(AGErange)[T.4.0],1.7295734246984837,1.063832533159261,2.8119315194653955,0.02713918014380703
C(AGErange)[T.5.0],1.3779805622399113,0.8303962796806741,2.2866557526500606,0.2146999110834209
C(AGErange)[T.6.0],1.0473795156420185,0.6197892516144151,1.7699626880089558,0.8627084212335863
C(AGErange)[T.7.0],0.6379182494848838,0.31909509763203603,1.27529283917461,0.203398145473752
VicFemale,1.465526002649814,1.162467690231343,1.8475923954628921,0.0012223920266719555
WhiteNH,4.6174865757609053e-08,0.0,inf,0.9999965824097526
BlackNH,2.9026285744089426e-08,0.0,inf,0.9999964884794444
OtherNH,4.038450830432232e-08,0.0,inf,0.9999965552991404
MARRIED,0.5644960899265734,0.44746064042556877,0.7121427154784483,1.4095525500532858e-06
year,1.0337853067181333,0.9664637136515665,1.105796363888734,0.333488436639913
